"package","variety_a","variety_b","variety_c","best","worst","var_a","var_b","var_c","lon","lat","planting_date","planting_day","season","year","GDD","minNT","maxNT","MLDS","MLWS","Rx5day"
"paquete_nic_apante_2016_1_096","INTA Centro Sur","PM2 Don Rey","INTA Ferroso","C","A","Worse","Worse","Better",-85.52115499,13.33670084,17162,362,"Ap16",2016,88,14.00810518,16.1862887,8,2,27.33400393
"paquete 306","SJC 730-79","PM2 Don Rey","ALS 0532-6","C","B","Worse","Worse","Better",-85.7359314,13.13598809,16779,344,"Ap15",2015,75,15.39055949,16.14436777,18,1,16.53760338
"paquete 308","INTA Precoz","INTA Fuerte Sequia","INTA Ferroso","A","B","Better","Worse","Better",-85.73507309,13.13765978,16776,341,"Ap15",2015,81,15.19055949,16.18549422,15,1,16.53760338
"paquete 309","PM2 Don Rey","INTA Matagalpa","SJC 730-79","A","C","Better","Worse","Worse",-85.73541641,13.13732544,16785,350,"Ap15",2015,79,15.19055949,16.18549422,20,2,16.53760338
"paquete 861","SJC 730-79","BRT 103-182","INTA Matagalpa","A","C","Better","Worse","Worse",-85.36960602,13.33567409,16784,349,"Ap15",2015,70,18.23027602,18.89415517,22,1,77.93579102
"paquete 310","BRT 103-182","ALS 0532-6","INTA Rojo","C","B","Worse","Worse","Better",-85.73455811,13.13732544,16794,359,"Ap15",2015,77,15.19055949,16.45749347,11,2,16.53760338
"paquete 311","INTA Centro Sur","INTA Precoz","INTA Fuerte Sequia","C","A","Worse","Worse","Better",-85.72769165,13.14100313,16810,10,"Ap15",2016,70,15.31279746,17.63323387,6,1,16.53760338
"paquete 314","INTA Precoz","INTA Fuerte Sequia","INTA Rojo","B","A","Worse","Better","Worse",-85.74279785,13.12896687,16793,358,"Ap15",2015,78,15.07447594,16.12418128,12,2,16.53760338
"paquete 315","PM2 Don Rey","INTA Centro Sur","INTA Ferroso","C","A","Worse","Worse","Better",-85.73318481,13.13565375,16779,344,"Ap15",2015,75,15.39055949,16.14436777,18,1,16.53760338
"paquete 316","BRT 103-182","SJC 730-79","INTA Matagalpa","A","C","Better","Worse","Worse",-85.73490143,13.13765978,16787,352,"Ap15",2015,79,15.19055949,16.18549422,18,2,16.53760338
"paquete 317","INTA Fuerte Sequia","ALS 0532-6","INTA Rojo","C","A","Better","Worse","Worse",-85.73541641,13.13782695,16776,341,"Ap15",2015,81,15.19055949,16.18549422,15,1,16.53760338
"paquete 318","INTA Ferroso","INTA Precoz","PM2 Don Rey","A","C","Better","Worse","Worse",-85.72769165,13.13832845,16779,344,"Ap15",2015,79,15.31279746,15.9252182,18,1,16.53760338
"paquete 319","SJC 730-79","INTA Matagalpa","INTA Centro Sur","C","A","Worse","Worse","Better",-85.72769165,13.14501508,16791,356,"Ap15",2015,76,15.31279746,16.55072361,14,2,16.53760338
"paquete 323","INTA Matagalpa","BRT 103-182","INTA Rojo","C","A","Worse","Worse","Better",-85.73181152,13.13966579,16776,341,"Ap15",2015,81,15.19055949,16.18549422,15,1,16.53760338
"paquete 324","ALS 0532-6","INTA Ferroso","INTA Fuerte Sequia","C","A","Better","Worse","Worse",-85.72769165,13.14501508,16774,339,"Ap15",2015,79,15.31279746,16.07628124,13,1,16.53760338
"paquete 325","PM2 Don Rey","INTA Centro Sur","SJC 730-79","C","A","Worse","Worse","Better",-85.73318481,13.13832845,16781,346,"Ap15",2015,80,15.19055949,16.18549422,20,1,16.53760338
"paquete 327","ALS 0532-6","INTA Ferroso","INTA Rojo","C","B","Worse","Better","Worse",-85.73455811,13.13882996,16781,346,"Ap15",2015,80,15.19055949,16.18549422,20,1,16.53760338
"paquete 328","SJC 730-79","PM2 Don Rey","INTA Fuerte Sequia","B","A","Worse","Better","Worse",-85.73318481,13.14100313,16779,344,"Ap15",2015,80,15.19055949,16.18549422,18,1,16.53760338
"paquete 329","INTA Centro Sur","BRT 103-182","INTA Precoz","A","B","Better","Worse","Worse",-85.73335648,13.13632243,16785,350,"Ap15",2015,74,15.39055949,16.14436777,20,2,16.53760338
"paquete 330","INTA Matagalpa","ALS 0532-6","INTA Rojo","A","C","Better","Worse","Worse",-85.73558807,13.13749261,16785,350,"Ap15",2015,79,15.19055949,16.18549422,20,2,16.53760338
"paquete 331","INTA Ferroso","INTA Fuerte Sequia","SJC 730-79","B","A","Worse","Better","Better",-85.73558807,13.13632243,16779,344,"Ap15",2015,75,15.39055949,16.14436777,18,1,16.53760338
"paquete 334","INTA Matagalpa","INTA Fuerte Sequia","SJC 730-79","B","A","Worse","Better","Worse",-85.7359314,13.14367777,16779,344,"Ap15",2015,80,15.19055949,16.18549422,18,1,16.53760338
"paquete 336","INTA Precoz","ALS 0532-6","BRT 103-182","C","B","Worse","Worse","Better",-85.72769165,13.13431639,16776,341,"Ap15",2015,78,15.43167848,16.50324133,15,1,16.53760338
"paquete 337","INTA Matagalpa","INTA Rojo","INTA Fuerte Sequia","B","C","Worse","Better","Worse",-85.73490143,13.13749261,16785,350,"Ap15",2015,79,15.19055949,16.18549422,20,2,16.53760338
"paquete 338","SJC 730-79","INTA Centro Sur","INTA Ferroso","C","B","Better","Worse","Better",-85.73627472,13.13816129,16785,350,"Ap15",2015,79,15.19055949,16.18549422,20,2,16.53760338
"paquete 516","INTA Matagalpa","ALS 0532-6","PM2 Don Rey","A","B","Better","Worse","Better",-85.36994934,13.33667628,16776,341,"Ap15",2015,70,18.23027602,19.08292801,15,1,77.93579102
"paquete 340","INTA Rojo","ALS 0532-6","INTA Matagalpa","B","C","Better","Worse","Better",-85.73421478,13.13632243,16785,350,"Ap15",2015,74,15.39055949,16.14436777,20,2,16.53760338
"paquete 341","SJC 730-79","INTA Ferroso","INTA Fuerte Sequia","B","A","Worse","Worse","Better",-85.73421478,13.13615526,16786,351,"Ap15",2015,74,15.39055949,16.14436777,19,2,16.53760338
"paquete 342","INTA Centro Sur","PM2 Don Rey","INTA Precoz","C","A","Worse","Worse","Better",-85.73043823,13.12896687,16764,329,"Ap15",2015,78,15.39055949,16.26778068,9,2,21.34476185
"paquete 343","BRT 103-182","INTA Matagalpa","ALS 0532-6","A","B","Better","Worse","Worse",-85.73730469,13.13565375,16783,348,"Ap15",2015,75,15.39055949,16.14436777,22,1,16.53760338
"paquete 344","SJC 730-79","INTA Fuerte Sequia","INTA Rojo","A","B","Better","Worse","Worse",-85.43106079,13.17175977,16809,9,"Ap15",2016,69,18.15012682,18.72856024,16,1,66.7935257
"paquete 346","PM2 Don Rey","ALS 0532-6","INTA Matagalpa","C","A","Worse","Worse","Better",-85.73181152,13.14100313,16776,341,"Ap15",2015,81,15.19055949,16.18549422,15,1,16.53760338
"paquete 412","INTA Ferroso","ALS 0532-6","INTA Precoz","B","C","Better","Better","Better",-85.3678894,13.33617519,16788,353,"Ap15",2015,70,18.23027602,18.76634838,22,1,77.93579102
"paquete 527","SJC 730-79","INTA Fuerte Sequia","ALS 0532-6","A","C","Worse","Worse","Worse",-85.36376953,13.33483892,16785,350,"Ap15",2015,71,18.01167848,18.4116188,22,1,77.93579102
"paquete 351","INTA Fuerte Sequia","INTA Precoz","SJC 730-79","C","A","Worse","Worse","Better",-85.73421478,13.13598809,16779,344,"Ap15",2015,75,15.39055949,16.14436777,18,1,16.53760338
"paquete 352","INTA Ferroso","INTA Matagalpa","INTA Centro Sur","B","A","Worse","Worse","Better",-85.48118591,13.2205613,16809,9,"Ap15",2016,76,16.55209996,18.32409922,16,1,58.39601135
"paquete 353","ALS 0532-6","INTA Rojo","PM2 Don Rey","C","A","Worse","Worse","Better",-85.23468018,12.88142494,16794,359,"Ap15",2015,68,18.69111899,19.17916449,6,2,37.44858313
"paquete 354","INTA Fuerte Sequia","INTA Precoz","BRT 103-182","C","A","Worse","Worse","Better",-85.73541641,13.13615526,16778,343,"Ap15",2015,76,15.39055949,16.14436777,17,1,16.53760338
"paquete 358","INTA Matagalpa","SJC 730-79","INTA Precoz","B","A","Worse","Better","Worse",-85.73455811,13.14100313,16765,330,"Ap15",2015,81,15.19055949,16.31684073,8,2,21.34476185
"paquete 360","BRT 103-182","INTA Rojo","PM2 Don Rey","C","A","Worse","Worse","Worse",-85.73490143,13.13498507,16793,358,"Ap15",2015,72,15.39055949,16.28902275,12,2,16.53760338
"paquete 361","INTA Fuerte Sequia","INTA Precoz","SJC 730-79","A","B","Better","Worse","Worse",-85.7314682,13.13414922,16791,356,"Ap15",2015,73,15.39055949,16.08256994,14,2,16.53760338
"paquete 365","INTA Matagalpa","INTA Fuerte Sequia","INTA Ferroso","C","A","Worse","Worse","Better",-85.73438644,13.13582092,16783,348,"Ap15",2015,75,15.39055949,16.14436777,22,1,16.53760338
"paquete 367","BRT 103-182","INTA Precoz","PM2 Don Rey","B","A","Worse","Worse","Worse",-85.73387146,13.13531941,16805,5,"Ap15",2016,69,15.39055949,16.9717307,6,2,16.53760338
"paquete 369","INTA Ferroso","INTA Centro Sur","ALS 0532-6","B","C","Worse","Worse","Worse",-85.73318481,13.13331336,16805,5,"Ap15",2016,69,15.39055949,16.9717307,6,2,16.53760338
"paquete 370","PM2 Don Rey","INTA Rojo","BRT 103-182","A","C","Worse","Worse","Worse",-85.73215485,13.13531941,16805,5,"Ap15",2016,69,15.39055949,16.9717307,6,2,16.53760338
"paquete 372","INTA Matagalpa","INTA Ferroso","INTA Centro Sur","C","B","Worse","Worse","Better",-85.73249817,13.13348053,16792,357,"Ap15",2015,73,15.39055949,16.18579634,13,2,16.53760338
"paquete 373","PM2 Don Rey","INTA Rojo","ALS 0532-6","A","B","Worse","Worse","Worse",-85.73232651,13.13331336,16795,360,"Ap15",2015,72,15.39055949,16.49547557,10,2,16.53760338
"paquete 377","ALS 0532-6","INTA Fuerte Sequia","BRT 103-182","A","C","Better","Worse","Better",-85.3692627,13.33300155,16784,349,"Ap15",2015,70,17.95,18.84283476,22,1,77.93579102
"paquete 379","INTA Matagalpa","INTA Ferroso","PM2 Don Rey","B","C","Better","Better","Better",-85.37132263,13.33517299,16784,349,"Ap15",2015,70,18.23027602,18.89415517,22,1,77.93579102
"paquete 381","INTA Fuerte Sequia","INTA Centro Sur","INTA Precoz","A","C","Better","Worse","Worse",-85.37063599,13.33617519,16784,349,"Ap15",2015,70,18.23027602,18.89415517,22,1,77.93579102
"paquete 382","INTA Matagalpa","PM2 Don Rey","SJC 730-79","A","C","Better","Worse","Worse",-85.37132263,13.33467189,16788,353,"Ap15",2015,70,18.23027602,18.76634838,22,1,77.93579102
"paquete 383","ALS 0532-6","INTA Ferroso","BRT 103-182","B","C","Worse","Worse","Better",-85.3692627,13.32414856,16789,354,"Ap15",2015,69,17.95,18.64400224,22,1,77.93579102
"paquete 384","INTA Rojo","INTA Centro Sur","INTA Fuerte Sequia","B","A","Worse","Better","Better",-85.36840439,13.33183231,16784,349,"Ap15",2015,70,17.95,18.84283476,22,1,77.93579102
"paquete 386","INTA Ferroso","INTA Matagalpa","BRT 103-182","A","C","Better","Worse","Worse",-85.35964966,13.33617519,16787,352,"Ap15",2015,71,18.01167848,18.36126445,22,1,77.93579102
"paquete 387","INTA Centro Sur","INTA Rojo","ALS 0532-6","B","C","Better","Better","Better",-85.36960602,13.33166527,16784,349,"Ap15",2015,70,17.95,18.84283476,22,1,77.93579102
"paquete 388","INTA Fuerte Sequia","PM2 Don Rey","SJC 730-79","B","C","Better","Better","Better",-85.37029266,13.33567409,16784,349,"Ap15",2015,70,18.23027602,18.89415517,22,1,77.93579102
"paquete 390","ALS 0532-6","INTA Matagalpa","INTA Rojo","A","C","Better","Better","Better",-85.36994934,13.33250045,16788,353,"Ap15",2015,70,17.95,18.69939202,22,1,77.93579102
"paquete 391","PM2 Don Rey","INTA Fuerte Sequia","INTA Centro Sur","A","C","Better","Worse","Worse",-85.36651611,13.33483892,16789,354,"Ap15",2015,70,18.23027602,18.7698508,22,1,77.93579102
"paquete 392","INTA Precoz","SJC 730-79","INTA Ferroso","C","B","Worse","Better","Worse",-85.37200928,13.3308301,16787,352,"Ap15",2015,70,17.95,18.74464379,22,1,77.93579102
"paquete 393","BRT 103-182","INTA Matagalpa","INTA Rojo","C","B","Better","Better","Better",-85.37200928,13.33233341,16788,353,"Ap15",2015,70,17.95,18.69939202,22,1,77.93579102
"paquete 395","INTA Precoz","INTA Ferroso","INTA Centro Sur","B","A","Worse","Better","Better",-85.37046432,13.33250045,16784,349,"Ap15",2015,70,17.95,18.84283476,22,1,77.93579102
"paquete 396","SJC 730-79","BRT 103-182","INTA Matagalpa","B","A","Worse","Better","Better",-85.370121,13.33300155,16771,336,"Ap15",2015,70,17.95,19.0297389,10,2,77.93579102
"paquete 397","ALS 0532-6","INTA Fuerte Sequia","INTA Rojo","A","C","Better","Worse","Better",-85.36891937,13.33433782,16788,353,"Ap15",2015,70,18.23027602,18.76634838,22,1,77.93579102
"paquete 398","PM2 Don Rey","INTA Ferroso","INTA Centro Sur","A","C","Better","Better","Better",-85.37166595,13.33216638,16788,353,"Ap15",2015,70,17.95,18.69939202,22,1,77.93579102
"paquete 399","INTA Precoz","INTA Matagalpa","SJC 730-79","A","C","Better","Worse","Worse",-85.37132263,13.33534002,16789,354,"Ap15",2015,70,18.23027602,18.7698508,22,1,77.93579102
"paquete 400","BRT 103-182","INTA Rojo","ALS 0532-6","A","C","Better","Worse","Worse",-85.35552979,13.3268212,16787,352,"Ap15",2015,74,17.87279746,18.2823909,22,1,77.93579102
"paquete 402","PM2 Don Rey","INTA Precoz","INTA Matagalpa","A","C","Better","Better","Better",-85.37063599,13.33483892,16788,353,"Ap15",2015,70,18.23027602,18.76634838,22,1,77.93579102
"paquete 403","ALS 0532-6","BRT 103-182","SJC 730-79","C","A","Worse","Better","Better",-85.3692627,13.3294938,16784,349,"Ap15",2015,70,17.95,18.84283476,22,1,77.93579102
"paquete 404","INTA Ferroso","INTA Rojo","INTA Fuerte Sequia","A","C","Better","Worse","Better",-85.3692627,13.33366969,16788,353,"Ap15",2015,70,17.95,18.69939202,22,1,77.93579102
"paquete 405","INTA Centro Sur","INTA Matagalpa","PM2 Don Rey","A","C","Better","Better","Better",-85.36651611,13.3308301,16788,353,"Ap15",2015,70,17.95,18.69939202,22,1,77.93579102
"paquete 407","INTA Fuerte Sequia","INTA Rojo","BRT 103-182","A","C","Better","Better","Worse",-85.37200928,13.33751144,16789,354,"Ap15",2015,70,18.23027602,18.7698508,22,1,77.93579102
"paquete 411","INTA Centro Sur","INTA Fuerte Sequia","INTA Matagalpa","A","C","Better","Better","Better",-85.37063599,13.33617519,16788,353,"Ap15",2015,70,18.23027602,18.76634838,22,1,77.93579102
"paquete_nic_apante_2016_1_084","INTA Ferroso","INTA Fuerte Sequia","ALS 0532-6","A","C","Better","Worse","Worse",-85.52115499,13.33670084,17162,362,"Ap16",2016,88,14.00810518,16.1862887,8,2,27.33400393
"paquete 413","SJC 730-79","PM2 Don Rey","INTA Rojo","C","B","Worse","Better","Better",-85.3692627,13.33383672,16788,353,"Ap15",2015,70,17.95,18.69939202,22,1,77.93579102
"paquete 414","INTA Matagalpa","BRT 103-182","INTA Fuerte Sequia","A","C","Worse","Worse","Better",-85.37063599,13.3294938,16789,354,"Ap15",2015,69,17.95,18.64400224,22,1,77.93579102
"paquete 415","INTA Precoz","INTA Centro Sur","ALS 0532-6","A","C","Worse","Worse","Worse",-85.37612915,13.33350266,16789,354,"Ap15",2015,69,17.95,18.64400224,22,1,77.93579102
"paquete 416","PM2 Don Rey","INTA Ferroso","SJC 730-79","B","A","Worse","Better","Worse",-85.37063599,13.3294938,16789,354,"Ap15",2015,69,17.95,18.64400224,22,1,77.93579102
"paquete 418","INTA Fuerte Sequia","ALS 0532-6","INTA Centro Sur","A","C","Worse","Worse","Better",-85.36651611,13.33216638,16787,352,"Ap15",2015,70,17.95,18.74464379,22,1,77.93579102
"paquete 419","INTA Ferroso","PM2 Don Rey","INTA Precoz","B","C","Better","Better","Better",-85.37750244,13.33350266,16784,349,"Ap15",2015,71,17.81,18.69415517,22,1,77.93579102
"paquete 594","ALS 0532-6","INTA Fuerte Sequia","BRT 103-182","B","C","Worse","Better","Worse",-85.24154663,12.91489095,16784,349,"Ap15",2015,67,18.69027602,19.38471839,10,3,30.06667614
"paquete 420","INTA Rojo","SJC 730-79","BRT 103-182","B","C","Better","Better","Better",-85.37218094,13.33500596,16784,349,"Ap15",2015,70,18.23027602,18.89415517,22,1,77.93579102
"paquete 421","INTA Fuerte Sequia","INTA Matagalpa","ALS 0532-6","A","C","Better","Worse","Worse",-85.35827637,13.33216638,16787,352,"Ap15",2015,71,17.95615442,18.66013801,22,1,77.93579102
"paquete 422","PM2 Don Rey","INTA Precoz","INTA Centro Sur","C","A","Worse","Worse","Better",-85.3527832,13.33350266,16789,354,"Ap15",2015,73,17.87279746,18.27238717,22,1,77.93579102
"paquete 424","INTA Matagalpa","INTA Fuerte Sequia","BRT 103-182","A","C","Better","Worse","Worse",-85.3692627,13.33350266,16789,354,"Ap15",2015,69,17.95,18.64400224,22,1,77.93579102
"paquete 425","ALS 0532-6","INTA Centro Sur","PM2 Don Rey","B","A","Worse","Worse","Worse",-85.3527832,13.33483892,16787,352,"Ap15",2015,73,17.73350615,18.3423909,22,1,77.93579102
"paquete 426","INTA Rojo","INTA Ferroso","INTA Precoz","A","B","Better","Worse","Worse",-85.34729004,13.33350266,16787,352,"Ap15",2015,74,17.87279746,18.2823909,22,1,84.91304016
"paquete 427","BRT 103-182","INTA Fuerte Sequia","SJC 730-79","B","C","Better","Better","Better",-85.37046432,13.33383672,16784,349,"Ap15",2015,70,17.95,18.84283476,22,1,77.93579102
"paquete 428","INTA Centro Sur","INTA Matagalpa","ALS 0532-6","B","C","Better","Better","Worse",-85.370121,13.33567409,16784,349,"Ap15",2015,70,18.23027602,18.89415517,22,1,77.93579102
"paquete 429","INTA Precoz","PM2 Don Rey","INTA Rojo","A","C","Better","Worse","Worse",-85.3678894,13.33350266,16789,354,"Ap15",2015,69,17.95,18.64400224,22,1,77.93579102
"paquete 802","SJC 730-79","PM2 Don Rey","INTA Matagalpa","B","C","Worse","Better","Worse",-85.22506714,12.87874746,16794,359,"Ap15",2015,67,18.53005222,18.98751212,6,2,37.44858313
"paquete 430","BRT 103-182","SJC 730-79","INTA Ferroso","B","C","Worse","Better","Worse",-85.37475586,13.33350266,16787,352,"Ap15",2015,70,17.95,18.74464379,22,1,77.93579102
"paquete 431","ALS 0532-6","INTA Centro Sur","INTA Fuerte Sequia","B","C","Better","Worse","Worse",-85.34866333,13.33216638,16787,352,"Ap15",2015,74,17.87279746,18.2823909,22,1,84.91304016
"paquete 432","INTA Rojo","INTA Matagalpa","INTA Precoz","B","A","Worse","Better","Worse",-85.35964966,13.32815751,16789,354,"Ap15",2015,71,17.95615442,18.57572921,22,1,77.93579102
"paquete 435","INTA Rojo","INTA Fuerte Sequia","INTA Precoz","A","B","Better","Worse","Worse",-85.3692627,13.33483892,16787,352,"Ap15",2015,70,18.23027602,18.80351734,22,1,77.93579102
"paquete 812","INTA Ferroso","INTA Fuerte Sequia","BRT 103-182","A","B","Worse","Better","Worse",-85.45852661,13.18379393,16783,348,"Ap15",2015,75,16.77167475,17.54993286,15,2,58.19937134
"paquete 813","INTA Matagalpa","INTA Rojo","ALS 0532-6","A","B","Better","Worse","Better",-85.4296875,13.15170153,16785,350,"Ap15",2015,72,17.8901119,18.81010444,22,1,66.7935257
"paquete 814","SJC 730-79","PM2 Don Rey","INTA Precoz","C","B","Better","Worse","Better",-85.57800293,13.2720263,16778,343,"Ap15",2015,85,15.39263708,16.4575718,17,1,54.52724457
"paquete 815","INTA Centro Sur","INTA Ferroso","INTA Fuerte Sequia","B","A","Worse","Better","Worse",-85.59310913,13.21721904,16788,353,"Ap15",2015,79,16.1345953,17.05183887,22,1,60.43225098
"paquete 816","INTA Matagalpa","ALS 0532-6","BRT 103-182","C","A","Worse","Worse","Better",-85.56838989,13.19716452,16788,353,"Ap15",2015,83,15.71134278,16.55894442,22,1,57.70901489
"paquete 818","SJC 730-79","INTA Ferroso","INTA Fuerte Sequia","B","A","Worse","Worse","Better",-85.4914856,13.20117556,16788,353,"Ap15",2015,84,15.31080567,16.15191347,22,1,58.39601135
"paquete 264","SJC 730-79","INTA Precoz","INTA Centro Sur","C","A","Worse","Better","Better",-85.60546875,13.14902697,16693,258,"Po15",2015,72,16.67285341,17.8481574,5,2,56.54152727
"paquete 823","INTA Rojo","PM2 Don Rey","ALS 0532-6","A","B","Better","Worse","Worse",-85.46264648,13.19716452,16784,349,"Ap15",2015,77,16.93036554,18.65755315,16,2,58.19937134
"paquete 824","INTA Fuerte Sequia","INTA Ferroso","BRT 103-182","A","C","Better","Better","Worse",-85.57765961,13.26434066,16781,346,"Ap15",2015,78,15.5745953,17.52218948,20,1,54.52724457
"paquete 826","INTA Rojo","SJC 730-79","PM2 Don Rey","B","C","Worse","Better","Worse",-85.42007446,13.14902697,16781,346,"Ap15",2015,71,17.9300373,19.16479299,20,1,64.02474213
"paquete 827","ALS 0532-6","INTA Fuerte Sequia","BRT 103-182","B","A","Worse","Better","Worse",-85.56838989,13.18914226,16790,355,"Ap15",2015,83,15.71134278,16.6646699,22,1,57.70901489
"paquete 828","INTA Precoz","INTA Centro Sur","INTA Ferroso","A","C","Worse","Better","Worse",-85.46539307,13.20117556,16792,357,"Ap15",2015,71,17.9702238,18.97467363,22,1,58.39601135
"paquete_nic_apante_2016_1_078","INTA Fuerte Sequia","BRT 103-182","INTA Centro Sur","A","B","Better","Worse","Worse",-85.52115499,13.33670084,17162,362,"Ap16",2016,88,14.00810518,16.1862887,8,2,27.33400393
"paquete_nic_apante_2016_1_079","PM2 Don Rey","INTA Precoz","SJC 730-79","B","C","Worse","Better","Worse",-85.52115499,13.33670084,17162,362,"Ap16",2016,88,14.00810518,16.1862887,8,2,27.33400393
"paquete_nic_apante_2016_1_080","ALS 0532-6","INTA Ferroso","INTA Matagalpa","A","B","Better","Worse","Worse",-85.52115499,13.33670084,17162,362,"Ap16",2016,88,14.00810518,16.1862887,8,2,27.33400393
